Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,4u7 50V,C515689
"C10, C13, C14, C17, C18, C24, C7, C9, C903, C904, C907, C908, C911, C912, C913, C914, C915, C916, C917",0402,19,100n,
"C11, C12, C15, C16, C23, C6, C8, C905, C906",0402,9,1u,
"C19, C20, C901, C902",0603,4,10u,
"C2, C3, C5",0805,3,100n 50V,C49678
C4,0805,1,10u 25V,C15850
"C909, C910",0402,2,30p,C1570
"D24, D25, D904",D_SOD-123,3,B5819W SL,C8598
D901,0805,1,LED GREEN,C2297
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,
J901,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
L1,L_MODBUS,1,22uH,C5289423
Q1,SOT-23,1,AO3400A,C20917
"R1, R10, R3, R4, R7",0402,5,4k7,
"R11, R5",0402,2,100k,
R12,0402,1,56k,
"R13, R17, R18, R6, R907",0402,5,10k,
R2,0402,1,7k5,
"R901, R902",0402,2,5.1k,
"R903, R904",0402,2,27R,
R905,0402,1,470R,
"R906, R908",0402,2,1k,
SW901,SW_TS-1187A-B-A-B,1,SW_MEC_5E,C318884
U1,SOT-23-6,1,AOZ1282CI,C111916
U10,QFN-44-5x5mm_P0.4mm,1,IS31FL3236A,C246443
"U11, U12, U13",SLS0391,3,SLS0391FR1A1GD,C2913076
"U2, U902",SOT-223-3_TabPin2,2,AMS1117-3.3,C6186
U3,SOP-6-2.54mm,1,H11L1,C78589
U901,RP2040-QFN-56,1,RP2040,C2040
U903,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y901,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C9002
