Designator,Mid X,Mid Y,Rotation,Layer
C1,83.214757,9.8488,90.0,top
C10,63.795406,-8.115,270.0,top
C11,56.588217,30.084089,90.0,top
C12,56.547184,10.676431,270.0,top
C13,55.66438,30.089777,90.0,top
C14,55.607725,10.681537,270.0,top
C15,66.57402,30.072519,90.0,top
C16,66.579311,10.705452,270.0,top
C17,65.637091,30.06835,90.0,top
C18,65.63872,10.699342,270.0,top
C19,80.046254,21.808124,90.0,top
C2,83.293249,6.454002,0.0,top
C20,80.038341,24.84911,270.0,top
C23,29.113883,21.666572,180.0,top
C24,29.107057,20.724597,180.0,top
C3,79.49784,9.196147,0.0,top
C4,83.261831,14.273687,180.0,top
C5,83.265145,16.366588,180.0,top
C6,46.555873,10.686278,270.0,top
C7,45.682142,30.108344,90.0,top
C8,46.619,30.1025,90.0,top
C9,45.625358,10.685912,270.0,top
C901,71.115888,8.651481,180.0,top
C902,68.049671,8.651481,0.0,top
C903,43.240485,3.838013,0.0,top
C904,31.318044,1.546652,180.0,top
C905,43.234917,-0.108376,0.0,top
C906,43.243103,-1.087804,0.0,top
C907,31.312959,0.567393,180.0,top
C908,31.323,2.5278,180.0,top
C909,30.689125,4.526787,180.0,top
C910,28.437153,6.294924,270.0,top
C911,36.123756,8.169019,90.0,top
C912,57.241866,7.885,0.0,top
C913,39.930815,-2.444938,270.0,top
C914,40.907614,-2.442908,270.0,top
C915,36.123662,-2.408687,270.0,top
C916,39.879,8.154,90.0,top
C917,43.234382,2.867704,0.0,top
D24,75.968818,7.705144,270.0,top
D25,79.217293,19.033734,0.0,top
D901,41.619,-8.615,180.0,top
D904,61.901565,-5.380369,90.0,top
J901,54.119,-6.74,0.0,top
L1,78.110729,14.038506,90.0,top
Q1,78.119,-1.334267,180.0,top
R1,77.290036,-3.662894,0.0,top
R10,81.119,-2.357739,270.0,top
R11,81.086397,4.162284,180.0,top
R12,77.677419,3.209236,180.0,top
R13,77.684245,4.21947,180.0,top
R17,81.119,-0.115,90.0,top
R18,66.619,-1.615,180.0,top
R2,29.096242,19.740345,180.0,top
R3,39.619,11.935304,180.0,top
R4,35.619,11.948876,0.0,top
R5,33.223375,11.966455,0.0,top
R6,81.119,2.208073,90.0,top
R7,80.119,2.208073,90.0,top
R901,48.254161,-3.681267,270.0,top
R902,56.489563,-1.176719,0.0,top
R903,43.253031,1.883348,180.0,top
R904,43.255233,0.886049,180.0,top
R905,44.064628,-8.850903,90.0,top
R906,57.030263,0.864128,90.0,top
R907,60.433416,7.886137,180.0,top
R908,29.006367,3.444735,180.0,top
SW901,60.378493,3.179867,270.0,top
U1,79.415274,6.444571,0.0,top
U10,34.119,20.385,90.0,top
U11,46.119,20.385,90.0,top
U12,56.119,20.385,90.0,top
U13,66.119,20.385,90.0,top
U2,75.638101,24.697082,270.0,top
U3,70.119,-6.115,180.0,top
U901,37.119,2.885,270.0,top
U902,68.192257,4.183297,0.0,top
U903,51.442811,5.566531,270.0,top
Y901,30.652532,7.148462,90.0,top
